timestamp_ms,frame,unity_time,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_x,hmd_rot_y,hmd_rot_z,hmd_rot_w,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
1768396210327,0,52.4337,-0.0050,1.0791,0.0283,-0.0907,0.0376,-0.0034,0.9952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0470,0.7322,0.5510,-0.0176,0.0292,0.4806,0.8763
1768396210367,1,52.4777,-0.0052,1.0793,0.0279,-0.0909,0.0379,-0.0033,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0467,0.7325,0.5508,0.0040,0.0272,0.4677,0.8835
1768396210407,2,52.5167,-0.0054,1.0795,0.0276,-0.0904,0.0380,-0.0031,0.9952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0468,0.7335,0.5507,-0.0091,0.0292,0.4716,0.8813
1768396210448,3,52.5573,-0.0058,1.0798,0.0273,-0.0901,0.0383,-0.0031,0.9952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0480,0.7387,0.5509,-0.0174,0.0448,0.4574,0.8880
1768396210487,4,52.5972,-0.0062,1.0801,0.0271,-0.0925,0.0377,-0.0015,0.9950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0488,0.7412,0.5506,-0.0065,0.0455,0.4404,0.8966
1768396210527,5,52.6368,-0.0064,1.0803,0.0270,-0.0915,0.0376,-0.0017,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0489,0.7424,0.5500,-0.0058,0.0418,0.4340,0.8999
1768396210567,6,52.6765,-0.0059,1.0801,0.0266,-0.0917,0.0387,-0.0023,0.9950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0490,0.7427,0.5496,-0.0124,0.0440,0.4404,0.8966
1768396210606,7,52.7158,-0.0060,1.0800,0.0263,-0.0929,0.0385,-0.0013,0.9949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0494,0.7436,0.5492,-0.0125,0.0453,0.4368,0.8983
1768396210646,8,52.7556,-0.0061,1.0802,0.0258,-0.0915,0.0384,-0.0014,0.9951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0493,0.7446,0.5476,-0.0103,0.0441,0.4290,0.9022
1768396210686,9,52.7953,-0.0064,1.0803,0.0253,-0.0922,0.0382,-0.0015,0.9950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0490,0.7455,0.5462,-0.0094,0.0427,0.4198,0.9066
1768396210726,10,52.8358,-0.0067,1.0806,0.0247,-0.0949,0.0377,0.0006,0.9948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0489,0.7458,0.5446,-0.0084,0.0422,0.4157,0.9085
