timestamp_ms,frame,unity_time,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_x,hmd_rot_y,hmd_rot_z,hmd_rot_w,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
1768373758923,0,18.3628,0.0650,1.2437,-0.2210,-0.0804,0.1320,-0.0051,0.9880,-0.0535,0.7823,0.1502,0.1780,-0.2397,-0.2212,-0.9284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373758967,1,18.4111,0.0651,1.2439,-0.2206,-0.0780,0.1316,-0.0033,0.9882,-0.0536,0.7815,0.1503,0.1713,-0.2413,-0.2115,-0.9315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759009,2,18.4527,0.0652,1.2441,-0.2202,-0.0775,0.1318,-0.0039,0.9882,-0.0539,0.7811,0.1506,0.1628,-0.2408,-0.2008,-0.9355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759050,3,18.4944,0.0660,1.2438,-0.2200,-0.0772,0.1316,-0.0029,0.9883,-0.0544,0.7809,0.1511,0.1551,-0.2409,-0.1943,-0.9382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759096,4,18.5402,0.0670,1.2438,-0.2196,-0.0747,0.1316,-0.0027,0.9885,-0.0551,0.7808,0.1513,0.1498,-0.2417,-0.1895,-0.9398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759133,5,18.5777,0.0676,1.2435,-0.2191,-0.0746,0.1333,-0.0030,0.9883,-0.0555,0.7810,0.1514,0.1478,-0.2432,-0.1852,-0.9406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759176,6,18.6194,0.0683,1.2435,-0.2188,-0.0731,0.1357,-0.0021,0.9880,-0.0558,0.7809,0.1514,0.1473,-0.2443,-0.1816,-0.9411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759217,7,18.6612,0.0688,1.2436,-0.2186,-0.0715,0.1369,-0.0021,0.9880,-0.0559,0.7807,0.1514,0.1475,-0.2450,-0.1796,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759258,8,18.7029,0.0694,1.2439,-0.2187,-0.0724,0.1365,-0.0026,0.9880,-0.0559,0.7807,0.1512,0.1478,-0.2451,-0.1792,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759300,9,18.7446,0.0699,1.2439,-0.2190,-0.0721,0.1367,-0.0029,0.9880,-0.0559,0.7807,0.1511,0.1479,-0.2449,-0.1790,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759343,10,18.7861,0.0703,1.2440,-0.2192,-0.0699,0.1371,-0.0014,0.9881,-0.0559,0.7806,0.1510,0.1481,-0.2448,-0.1788,-0.9414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759383,11,18.8276,0.0704,1.2442,-0.2192,-0.0721,0.1381,-0.0030,0.9878,-0.0559,0.7806,0.1509,0.1480,-0.2451,-0.1784,-0.9414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759426,12,18.8695,0.0705,1.2442,-0.2194,-0.0716,0.1383,-0.0036,0.9878,-0.0560,0.7804,0.1508,0.1480,-0.2453,-0.1783,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759467,13,18.9109,0.0706,1.2439,-0.2198,-0.0717,0.1372,-0.0029,0.9879,-0.0560,0.7802,0.1508,0.1478,-0.2452,-0.1786,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759509,14,18.9527,0.0705,1.2436,-0.2201,-0.0720,0.1363,-0.0030,0.9880,-0.0561,0.7801,0.1509,0.1475,-0.2451,-0.1792,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759551,15,18.9944,0.0704,1.2436,-0.2202,-0.0714,0.1364,-0.0032,0.9881,-0.0561,0.7800,0.1509,0.1475,-0.2448,-0.1796,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759592,16,19.0363,0.0701,1.2434,-0.2201,-0.0732,0.1363,-0.0025,0.9879,-0.0561,0.7801,0.1508,0.1475,-0.2447,-0.1800,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759634,17,19.0776,0.0700,1.2436,-0.2203,-0.0729,0.1370,-0.0028,0.9879,-0.0561,0.7804,0.1504,0.1473,-0.2446,-0.1803,-0.9413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759676,18,19.1193,0.0699,1.2437,-0.2204,-0.0716,0.1364,-0.0024,0.9881,-0.0561,0.7808,0.1498,0.1470,-0.2443,-0.1804,-0.9414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759718,19,19.1611,0.0696,1.2435,-0.2203,-0.0733,0.1354,-0.0026,0.9881,-0.0560,0.7812,0.1495,0.1465,-0.2441,-0.1800,-0.9416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759759,20,19.2027,0.0693,1.2434,-0.2201,-0.0722,0.1361,-0.0028,0.9881,-0.0560,0.7814,0.1492,0.1464,-0.2440,-0.1798,-0.9417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759800,21,19.2444,0.0688,1.2427,-0.2196,-0.0750,0.1369,-0.0020,0.9877,-0.0559,0.7812,0.1491,0.1471,-0.2439,-0.1798,-0.9416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759841,22,19.2860,0.0687,1.2424,-0.2194,-0.0743,0.1363,-0.0018,0.9879,-0.0559,0.7810,0.1491,0.1480,-0.2438,-0.1801,-0.9414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759883,23,19.3276,0.0688,1.2422,-0.2193,-0.0728,0.1360,-0.0016,0.9880,-0.0560,0.7805,0.1493,0.1495,-0.2437,-0.1808,-0.9411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
1768373759926,24,19.3692,0.0689,1.2422,-0.2191,-0.0733,0.1353,-0.0021,0.9881,-0.0559,0.7800,0.1497,0.1519,-0.2432,-0.1814,-0.9407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
