timestamp_ms,frame,unity_time,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_x,hmd_rot_y,hmd_rot_z,hmd_rot_w,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
1768374918846,0,14.6931,0.0067,1.1528,-0.1802,-0.0015,0.1308,0.0111,0.9914,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1002,0.8411,0.2739,0.0041,0.0624,0.3942,0.9169
1768374918893,1,14.7421,0.0070,1.1534,-0.1816,-0.0040,0.1307,0.0118,0.9913,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.0979,0.8431,0.2727,-0.0175,0.0561,0.4084,0.9109
1768374918933,2,14.7824,0.0070,1.1539,-0.1826,-0.0048,0.1305,0.0121,0.9914,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.0973,0.8449,0.2715,-0.0104,0.0553,0.3904,0.9189
1768374918975,3,14.8241,0.0071,1.1544,-0.1831,-0.0055,0.1302,0.0115,0.9914,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.0984,0.8473,0.2700,-0.0318,0.0652,0.4028,0.9124
1768374919017,4,14.8659,0.0069,1.1551,-0.1837,-0.0078,0.1292,0.0126,0.9915,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1011,0.8542,0.2677,-0.0322,0.0836,0.3883,0.9172
1768374919058,5,14.9075,0.0066,1.1559,-0.1841,-0.0093,0.1277,0.0131,0.9917,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1021,0.8586,0.2636,-0.0253,0.0623,0.3689,0.9270
1768374919100,6,14.9491,0.0063,1.1570,-0.1844,-0.0092,0.1278,0.0115,0.9917,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1061,0.8659,0.2596,-0.0442,0.0797,0.3714,0.9240
1768374919142,7,14.9909,0.0061,1.1577,-0.1851,-0.0146,0.1259,0.0129,0.9918,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1091,0.8735,0.2540,-0.0543,0.0767,0.3797,0.9203
1768374919183,8,15.0330,0.0057,1.1592,-0.1860,-0.0164,0.1244,0.0121,0.9920,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1150,0.8819,0.2469,-0.0669,0.0927,0.3715,0.9214
1768374919225,9,15.0743,0.0052,1.1606,-0.1869,-0.0184,0.1256,0.0109,0.9918,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1210,0.8909,0.2375,-0.0876,0.1075,0.3706,0.9184
1768374919267,10,15.1163,0.0052,1.1618,-0.1877,-0.0186,0.1260,0.0109,0.9918,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1279,0.8981,0.2263,-0.0930,0.1016,0.3648,0.9209
1768374919308,11,15.1580,0.0054,1.1632,-0.1884,-0.0194,0.1295,0.0114,0.9913,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1363,0.9040,0.2148,-0.0901,0.1014,0.3597,0.9232
1768374919351,12,15.1997,0.0057,1.1641,-0.1898,-0.0216,0.1302,0.0126,0.9912,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1468,0.9104,0.2017,-0.0929,0.1102,0.3657,0.9195
1768374919391,13,15.2410,0.0064,1.1649,-0.1910,-0.0234,0.1327,0.0138,0.9908,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1602,0.9166,0.1897,-0.0929,0.1213,0.3684,0.9170
1768374919434,14,15.2828,0.0074,1.1659,-0.1924,-0.0224,0.1380,0.0129,0.9901,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1739,0.9236,0.1793,-0.1075,0.1346,0.3660,0.9145
1768374919475,15,15.3243,0.0086,1.1670,-0.1941,-0.0233,0.1429,0.0145,0.9894,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.1894,0.9308,0.1681,-0.1159,0.1501,0.3463,0.9188
1768374919517,16,15.3660,0.0101,1.1676,-0.1960,-0.0254,0.1471,0.0144,0.9887,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2073,0.9357,0.1579,-0.1187,0.1782,0.3508,0.9116
1768374919559,17,15.4076,0.0113,1.1682,-0.1982,-0.0271,0.1518,0.0145,0.9879,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2270,0.9401,0.1487,-0.1039,0.2015,0.3699,0.9010
1768374919601,18,15.4496,0.0130,1.1691,-0.2005,-0.0298,0.1564,0.0157,0.9871,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2449,0.9434,0.1397,-0.0981,0.2111,0.4046,0.8843
1768374919642,19,15.4909,0.0146,1.1701,-0.2030,-0.0325,0.1624,0.0172,0.9860,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2627,0.9471,0.1306,-0.1044,0.2374,0.4047,0.8769
1768374919684,20,15.5329,0.0165,1.1714,-0.2056,-0.0341,0.1678,0.0184,0.9851,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2803,0.9510,0.1222,-0.1001,0.2643,0.4019,0.8710
1768374919725,21,15.5742,0.0186,1.1726,-0.2082,-0.0362,0.1735,0.0190,0.9840,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2965,0.9540,0.1136,-0.0985,0.2867,0.4057,0.8623
1768374919767,22,15.6161,0.0209,1.1733,-0.2109,-0.0379,0.1798,0.0190,0.9828,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3114,0.9571,0.1063,-0.0973,0.3070,0.3968,0.8596
1768374919809,23,15.6576,0.0233,1.1744,-0.2138,-0.0417,0.1857,0.0183,0.9815,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3262,0.9598,0.1000,-0.0918,0.3297,0.3870,0.8562
1768374919851,24,15.7004,0.0261,1.1756,-0.2163,-0.0458,0.1909,0.0200,0.9803,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3387,0.9618,0.0943,-0.0909,0.3445,0.3920,0.8482
1768374919891,25,15.7410,0.0283,1.1768,-0.2190,-0.0483,0.1962,0.0204,0.9792,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3506,0.9643,0.0886,-0.0881,0.3650,0.3958,0.8381
1768374919933,26,15.7827,0.0306,1.1777,-0.2214,-0.0503,0.1979,0.0205,0.9787,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3620,0.9682,0.0827,-0.0891,0.3856,0.3894,0.8317
1768374919975,27,15.8242,0.0323,1.1779,-0.2235,-0.0528,0.2007,0.0190,0.9781,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3716,0.9730,0.0767,-0.0912,0.4036,0.3816,0.8265
1768374920017,28,15.8662,0.0340,1.1782,-0.2255,-0.0548,0.2017,0.0202,0.9777,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3795,0.9791,0.0713,-0.0989,0.4196,0.3572,0.8286
1768374920060,29,15.9083,0.0354,1.1781,-0.2268,-0.0561,0.2032,0.0192,0.9773,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3860,0.9847,0.0667,-0.1038,0.4332,0.3416,0.8276
1768374920100,30,15.9493,0.0366,1.1779,-0.2281,-0.0553,0.2040,0.0175,0.9773,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3900,0.9918,0.0627,-0.1124,0.4433,0.3101,0.8335
1768374920142,31,15.9909,0.0378,1.1777,-0.2291,-0.0568,0.2051,0.0176,0.9769,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3894,0.9986,0.0602,-0.1216,0.4409,0.2805,0.8439
1768374920183,32,16.0328,0.0388,1.1776,-0.2298,-0.0564,0.2063,0.0169,0.9767,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3847,1.0054,0.0598,-0.1328,0.4305,0.2565,0.8551
1768374920225,33,16.0743,0.0397,1.1779,-0.2305,-0.0554,0.2073,0.0147,0.9766,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3775,1.0129,0.0605,-0.1447,0.4191,0.2377,0.8642
1768374920267,34,16.1161,0.0407,1.1779,-0.2309,-0.0589,0.2074,0.0163,0.9763,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3681,1.0217,0.0612,-0.1618,0.4099,0.2217,0.8698
1768374920309,35,16.1576,0.0411,1.1784,-0.2313,-0.0595,0.2060,0.0168,0.9766,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3563,1.0305,0.0633,-0.1780,0.3991,0.2181,0.8726
1768374920350,36,16.2000,0.0414,1.1789,-0.2317,-0.0575,0.2063,0.0140,0.9767,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3423,1.0391,0.0653,-0.1948,0.3840,0.2137,0.8769
1768374920392,37,16.2414,0.0415,1.1790,-0.2316,-0.0614,0.2046,0.0163,0.9768,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3258,1.0464,0.0681,-0.2126,0.3647,0.2136,0.8810
1768374920433,38,16.2828,0.0410,1.1795,-0.2315,-0.0615,0.2032,0.0162,0.9771,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.3084,1.0518,0.0711,-0.2255,0.3451,0.2125,0.8859
1768374920475,39,16.3242,0.0402,1.1796,-0.2315,-0.0607,0.2009,0.0155,0.9776,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2898,1.0540,0.0748,-0.2350,0.3237,0.2218,0.8893
1768374920517,40,16.3659,0.0393,1.1795,-0.2310,-0.0622,0.1980,0.0157,0.9781,-0.1473,0.7788,0.2433,-0.1792,0.3437,-0.2985,-0.8721,0.2719,1.0548,0.0787,-0.2410,0.3012,0.2261,0.8945
