timestamp_ms,frame,unity_time,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_x,hmd_rot_y,hmd_rot_z,hmd_rot_w,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,left_rot_w,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,right_rot_w
1768397034833,0,73.6592,0.0144,1.1935,-0.2582,0.0130,0.1538,-0.0079,0.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2226,0.8405,0.1924,0.1077,0.1166,0.4137,0.8965
1768397034870,1,73.7008,0.0144,1.1934,-0.2587,0.0126,0.1538,-0.0077,0.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2206,0.8435,0.1920,0.0866,0.1150,0.4226,0.8948
1768397034909,2,73.7394,0.0140,1.1936,-0.2593,0.0124,0.1539,-0.0074,0.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2209,0.8462,0.1929,0.1090,0.1240,0.4021,0.9006
1768397034953,3,73.7837,0.0134,1.1940,-0.2599,0.0115,0.1538,-0.0067,0.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2202,0.8471,0.1922,0.0990,0.1215,0.4084,0.8993
1768397034993,4,73.8235,0.0129,1.1943,-0.2602,0.0115,0.1526,-0.0069,0.9882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2210,0.8489,0.1920,0.1006,0.1271,0.4013,0.9015
1768397035033,5,73.8644,0.0124,1.1943,-0.2609,0.0099,0.1516,-0.0056,0.9884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2222,0.8507,0.1915,0.1006,0.1327,0.3945,0.9037
1768397035075,6,73.9056,0.0118,1.1945,-0.2620,0.0096,0.1523,-0.0056,0.9883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2226,0.8509,0.1905,0.1041,0.1308,0.3923,0.9045
1768397035117,7,73.9474,0.0111,1.1947,-0.2634,0.0086,0.1519,-0.0050,0.9883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2225,0.8514,0.1891,0.0996,0.1279,0.3995,0.9023
1768397035158,8,73.9892,0.0101,1.1951,-0.2648,0.0075,0.1533,-0.0041,0.9881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2227,0.8549,0.1881,0.0922,0.1297,0.4050,0.9004
1768397035200,9,74.0308,0.0094,1.1952,-0.2661,0.0059,0.1534,-0.0032,0.9881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2233,0.8628,0.1878,0.0875,0.1339,0.4031,0.9011
1768397035242,10,74.0725,0.0086,1.1954,-0.2672,0.0047,0.1532,-0.0034,0.9882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2236,0.8763,0.1878,0.0712,0.1367,0.4084,0.8997
1768397035284,11,74.1145,0.0079,1.1955,-0.2682,0.0028,0.1522,-0.0034,0.9883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2242,0.8964,0.1879,0.0522,0.1411,0.4126,0.8984
1768397035325,12,74.1558,0.0072,1.1958,-0.2690,0.0034,0.1518,-0.0029,0.9884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2253,0.9222,0.1894,0.0503,0.1310,0.4093,0.9016
1768397035367,13,74.1980,0.0066,1.1961,-0.2700,0.0021,0.1515,-0.0028,0.9885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2274,0.9527,0.1885,0.0176,0.1482,0.4051,0.9020
1768397035408,14,74.2395,0.0059,1.1965,-0.2708,0.0024,0.1513,-0.0005,0.9885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2285,0.9854,0.1854,-0.0038,0.1599,0.4122,0.8970
1768397035450,15,74.2809,0.0051,1.1965,-0.2717,0.0016,0.1518,-0.0013,0.9884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2277,1.0189,0.1800,-0.0318,0.1615,0.4115,0.8964
1768397035491,16,74.3226,0.0042,1.1967,-0.2727,0.0012,0.1525,-0.0001,0.9883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2260,1.0528,0.1720,-0.0658,0.1615,0.4076,0.8963
1768397035534,17,74.3646,0.0032,1.1967,-0.2735,-0.0002,0.1519,0.0005,0.9884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2256,1.0866,0.1636,-0.0999,0.1782,0.4103,0.8888
