Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
28,9.608928,-0.0344,0.4083,-0.2445,355.414,1.790,356.718,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.0373,0.2419,0.1618,1.655,336.909,337.605,01-08 17:52:29.593
29,9.649993,-0.0320,0.4097,-0.2465,353.739,2.409,357.922,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.0009,0.2485,0.1633,1.603,343.989,338.570,01-08 17:52:29.634
30,9.691634,-0.0295,0.4105,-0.2482,352.643,2.625,358.892,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.0295,0.2534,0.1644,2.204,346.707,342.071,01-08 17:52:29.675
31,9.733417,-0.0267,0.4116,-0.2495,352.059,2.886,359.443,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.0555,0.2569,0.1650,1.822,349.536,341.505,01-08 17:52:29.718
32,9.775187,-0.0233,0.4125,-0.2506,351.750,3.507,359.400,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.0728,0.2572,0.1615,2.863,352.102,342.739,01-08 17:52:29.759
33,9.816796,-0.0201,0.4138,-0.2513,351.210,4.006,359.621,-0.2655,0.0275,0.2762,4.203,19.299,306.779,0.0851,0.2592,0.1584,3.059,355.326,347.238,01-08 17:52:29.800
34,9.859217,-0.0167,0.4147,-0.2514,350.611,4.423,359.767,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.0955,0.2638,0.1544,358.734,358.310,351.374,01-08 17:52:29.843
35,9.899886,-0.0138,0.4146,-0.2524,350.382,4.764,359.760,-0.2655,0.0275,0.2762,4.203,19.299,306.780,0.1053,0.2677,0.1497,355.832,0.399,352.581,01-08 17:52:29.883
36,9.941863,-0.0108,0.4142,-0.2520,351.040,5.564,359.319,-0.2655,0.0275,0.2762,4.203,19.298,306.779,0.1127,0.2716,0.1464,354.206,3.253,351.501,01-08 17:52:29.926
37,9.98357,-0.0087,0.4138,-0.2523,351.528,6.066,359.036,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1199,0.2761,0.1395,350.325,7.508,349.975,01-08 17:52:29.968
38,10.02523,-0.0072,0.4134,-0.2525,351.697,6.330,358.890,-0.2655,0.0275,0.2762,4.203,19.298,306.780,0.1217,0.2778,0.1357,349.207,4.396,349.518,01-08 17:52:30.009
