Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
29,32.14077,0.2342,0.7514,-0.4639,0.013,357.126,358.611,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.4028,0.3593,-0.3071,0.889,348.988,216.997,01-08 18:53:09.696
30,32.18189,0.2382,0.7532,-0.4800,359.421,356.477,358.600,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.4083,0.3869,-0.3127,7.705,346.548,218.829,01-08 18:53:09.736
31,32.22418,0.2420,0.7564,-0.4945,358.644,355.836,358.485,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.4143,0.4104,-0.3191,9.044,345.905,223.260,01-08 18:53:09.779
32,32.26533,0.2453,0.7580,-0.5086,358.568,355.268,357.924,0.0423,0.3952,-0.3097,355.285,0.798,111.047,0.4093,0.4312,-0.3287,0.152,339.732,231.470,01-08 18:53:09.819
33,32.30695,0.2485,0.7606,-0.5218,358.289,354.887,357.620,0.0568,0.4117,-0.3338,355.565,358.677,108.674,0.4023,0.4429,-0.3372,353.850,339.259,231.235,01-08 18:53:09.862
34,32.34922,0.2510,0.7637,-0.5342,357.529,354.511,357.241,0.0660,0.4179,-0.3437,350.919,359.180,115.749,0.3994,0.4592,-0.3517,348.653,341.232,231.225,01-08 18:53:09.903
35,32.38996,0.2528,0.7665,-0.5457,356.814,354.200,356.924,0.0700,0.4225,-0.3498,346.810,359.471,116.644,0.3959,0.4703,-0.3655,346.105,345.225,230.040,01-08 18:53:09.943
36,32.43154,0.2534,0.7686,-0.5548,355.589,354.196,356.794,0.0655,0.4263,-0.3525,341.681,357.336,115.471,0.3937,0.4838,-0.3846,347.642,347.355,230.773,01-08 18:53:09.986
37,32.47325,0.2530,0.7706,-0.5626,354.674,354.374,356.423,0.0599,0.4375,-0.3590,335.055,355.753,114.537,0.3914,0.4988,-0.3943,348.188,348.310,230.576,01-08 18:53:10.027
38,32.51511,0.2514,0.7718,-0.5690,353.812,354.717,356.220,0.0542,0.4616,-0.3724,330.832,356.481,118.433,0.3989,0.5096,-0.3987,345.533,347.486,225.870,01-08 18:53:10.069
39,32.55733,0.2495,0.7731,-0.5740,353.252,354.750,356.427,0.0472,0.4945,-0.4089,328.514,347.217,127.994,0.4140,0.5207,-0.4031,339.606,350.993,221.982,01-08 18:53:10.112
40,32.59849,0.2467,0.7740,-0.5777,352.755,354.862,356.489,0.0276,0.5147,-0.4311,324.093,337.209,124.195,0.4419,0.5306,-0.4148,336.345,358.718,222.872,01-08 18:53:10.152
41,32.63452,0.2448,0.7751,-0.5801,352.535,354.892,356.456,0.0213,0.5222,-0.4471,321.550,332.163,120.372,0.4584,0.5335,-0.4225,335.923,1.206,225.455,01-08 18:53:10.188
42,32.66845,0.2416,0.7777,-0.5824,352.092,355.009,356.160,-0.0047,0.5173,-0.4580,322.218,318.529,124.901,0.4851,0.5390,-0.4250,332.761,8.725,233.941,01-08 18:53:10.223
43,32.71001,0.2383,0.7771,-0.5855,351.841,355.030,356.043,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,01-08 18:53:10.265
44,32.75156,0.2353,0.7779,-0.5882,351.881,354.924,356.127,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,01-08 18:53:10.305
45,32.79413,0.2326,0.7781,-0.5908,351.642,354.726,356.118,-0.1280,0.5756,-0.3920,351.526,293.300,30.887,0.5070,0.5861,-0.3202,340.199,35.185,320.831,01-08 18:53:10.349
46,32.83487,0.2305,0.7782,-0.5926,351.517,354.292,356.057,-0.1906,0.5162,-0.3886,356.193,291.958,31.991,0.5362,0.5754,-0.3306,342.179,35.865,319.844,01-08 18:53:10.390
47,32.87651,0.2288,0.7776,-0.5942,351.478,353.915,355.796,-0.2024,0.5084,-0.3926,357.794,289.494,29.792,0.5345,0.5701,-0.3299,343.795,35.855,317.127,01-08 18:53:10.430
48,32.91807,0.2279,0.7775,-0.5958,351.700,353.677,355.564,-0.2088,0.5079,-0.3967,358.383,288.551,29.829,0.5267,0.5700,-0.3285,344.155,37.573,319.381,01-08 18:53:10.473
49,32.95986,0.2279,0.7771,-0.5974,351.960,353.407,355.395,-0.2078,0.5137,-0.3970,357.759,288.094,30.055,0.5112,0.5745,-0.3252,342.462,38.268,322.874,01-08 18:53:10.514
50,33.00111,0.2287,0.7774,-0.5996,352.323,353.208,355.345,-0.1849,0.5342,-0.3886,352.023,291.484,29.062,0.4800,0.5866,-0.3183,338.715,29.972,325.748,01-08 18:53:10.555
51,33.04263,0.2301,0.7789,-0.6015,352.172,352.846,355.553,-0.1558,0.5527,-0.3791,345.404,296.439,26.242,0.4480,0.5970,-0.3134,335.001,22.230,333.159,01-08 18:53:10.597
52,33.08432,0.2321,0.7809,-0.6034,351.869,352.609,355.690,-0.1221,0.5670,-0.3666,340.025,302.618,22.073,0.4140,0.6053,-0.3120,332.095,16.005,340.128,01-08 18:53:10.638
53,33.12637,0.2345,0.7830,-0.6049,351.509,352.478,355.746,-0.0844,0.5770,-0.3528,335.218,310.935,16.106,0.3776,0.6093,-0.3114,330.575,8.608,347.613,01-08 18:53:10.680
54,33.1675,0.2373,0.7831,-0.6064,351.299,352.508,355.778,-0.0350,0.5792,-0.3420,332.143,321.909,8.749,0.3404,0.6055,-0.3159,330.998,357.796,353.150,01-08 18:53:10.722
55,33.20926,0.2401,0.7822,-0.6076,351.560,352.508,356.033,0.0088,0.5731,-0.3342,330.921,331.967,0.742,0.3139,0.5985,-0.3241,331.024,348.981,355.768,01-08 18:53:10.763
56,33.25068,0.2430,0.7818,-0.6083,351.938,352.372,356.360,0.0435,0.5665,-0.3312,330.200,338.872,356.343,0.3007,0.5931,-0.3284,332.647,344.782,354.621,01-08 18:53:10.805
57,33.29311,0.2459,0.7810,-0.6086,352.378,352.108,356.697,0.0682,0.5606,-0.3326,330.642,344.466,354.373,0.3003,0.5887,-0.3290,334.733,343.515,353.003,01-08 18:53:10.847
58,33.33495,0.2488,0.7804,-0.6086,352.540,351.760,356.938,0.0750,0.5592,-0.3359,330.952,345.682,358.070,0.3075,0.5873,-0.3294,335.074,343.749,352.643,01-08 18:53:10.890
59,33.37575,0.2519,0.7800,-0.6087,353.065,351.438,357.152,0.0660,0.5623,-0.3397,330.399,343.391,359.027,0.3305,0.5912,-0.3287,332.353,348.226,353.474,01-08 18:53:10.930
60,33.41763,0.2553,0.7798,-0.6085,353.081,351.063,357.464,0.0445,0.5668,-0.3431,329.669,336.217,2.697,0.3587,0.5953,-0.3247,332.382,353.127,350.196,01-08 18:53:10.972
61,33.45969,0.2588,0.7791,-0.6081,353.345,350.690,357.734,0.0134,0.5702,-0.3465,330.710,327.578,9.148,0.3938,0.5989,-0.3186,333.841,359.606,344.626,01-08 18:53:11.014
62,33.50058,0.2626,0.7773,-0.6081,354.100,350.477,357.778,-0.0252,0.5724,-0.3554,333.459,318.181,16.768,0.4332,0.5998,-0.3149,334.767,7.992,340.239,01-08 18:53:11.055
63,33.54223,0.2663,0.7764,-0.6080,354.789,350.462,357.709,-0.0597,0.5672,-0.3642,337.867,310.641,20.643,0.4669,0.5975,-0.3140,335.645,14.857,338.049,01-08 18:53:11.097
64,33.58414,0.2706,0.7756,-0.6078,355.244,350.567,357.573,-0.0909,0.5605,-0.3759,341.542,302.875,22.978,0.4982,0.5931,-0.3146,337.517,20.651,335.885,01-08 18:53:11.139
65,33.62677,0.2742,0.7749,-0.6074,355.430,350.756,357.338,-0.1169,0.5524,-0.3931,345.525,296.210,25.732,0.5266,0.5869,-0.3173,339.934,25.364,333.626,01-08 18:53:11.180
66,33.66769,0.2774,0.7743,-0.6077,355.701,350.993,357.139,-0.1328,0.5408,-0.4087,348.002,291.872,24.684,0.5481,0.5790,-0.3229,341.201,29.639,332.969,01-08 18:53:11.222
67,33.70951,0.2804,0.7734,-0.6086,356.080,351.134,356.955,-0.1447,0.5292,-0.4205,351.754,289.522,24.742,0.5646,0.5721,-0.3267,343.023,32.988,331.540,01-08 18:53:11.263
68,33.75084,0.2829,0.7730,-0.6094,356.216,351.222,356.861,-0.1544,0.5197,-0.4297,355.565,287.087,24.520,0.5764,0.5679,-0.3293,344.933,35.683,329.090,01-08 18:53:11.305
69,33.79316,0.2850,0.7726,-0.6107,356.455,351.232,356.753,-0.1552,0.5157,-0.4343,355.403,284.433,24.251,0.5791,0.5670,-0.3297,345.149,36.946,328.874,01-08 18:53:11.347
70,33.83462,0.2864,0.7727,-0.6122,356.328,351.169,356.733,-0.1408,0.5216,-0.4266,353.533,287.170,23.268,0.5638,0.5716,-0.3257,342.913,34.653,331.569,01-08 18:53:11.389
71,33.87617,0.2877,0.7727,-0.6139,356.325,351.065,356.720,-0.1229,0.5289,-0.4147,352.373,293.725,21.675,0.5451,0.5761,-0.3202,341.540,30.248,334.078,01-08 18:53:11.431
72,33.91796,0.2887,0.7725,-0.6156,356.354,350.958,356.766,-0.1004,0.5391,-0.4029,348.937,297.747,20.060,0.5231,0.5801,-0.3151,340.259,24.949,336.106,01-08 18:53:11.471
73,33.95983,0.2890,0.7722,-0.6175,356.498,350.755,356.901,-0.0739,0.5497,-0.3907,346.770,300.056,19.414,0.4953,0.5835,-0.3099,338.851,20.955,338.830,01-08 18:53:11.514
74,34.0013,0.2893,0.7719,-0.6195,356.534,350.515,357.056,-0.0455,0.5581,-0.3785,344.791,303.634,18.807,0.4653,0.5851,-0.3060,337.950,16.683,340.922,01-08 18:53:11.555
75,34.04239,0.2897,0.7719,-0.6213,356.562,350.315,357.222,-0.0110,0.5646,-0.3651,342.118,310.844,14.366,0.4317,0.5846,-0.3044,337.284,10.552,343.312,01-08 18:53:11.597
76,34.08416,0.2900,0.7719,-0.6231,356.537,350.164,357.292,0.0266,0.5680,-0.3522,339.848,319.724,8.927,0.3956,0.5821,-0.3046,337.557,3.158,347.605,01-08 18:53:11.639
77,34.12638,0.2904,0.7716,-0.6247,356.547,349.965,357.373,0.0677,0.5678,-0.3434,337.168,329.157,2.273,0.3585,0.5776,-0.3104,337.175,354.192,354.051,01-08 18:53:11.680
78,34.1678,0.2908,0.7714,-0.6260,356.603,349.874,357.345,0.1054,0.5606,-0.3417,335.306,336.873,357.783,0.3315,0.5712,-0.3181,338.441,347.006,354.712,01-08 18:53:11.722
79,34.20914,0.2912,0.7713,-0.6269,356.529,349.818,357.417,0.1322,0.5519,-0.3422,336.372,344.413,354.365,0.3148,0.5652,-0.3241,339.231,343.686,353.466,01-08 18:53:11.763
80,34.25115,0.2918,0.7710,-0.6274,356.584,349.867,357.375,0.1473,0.5463,-0.3441,337.214,349.227,352.584,0.3069,0.5625,-0.3269,340.376,343.231,349.920,01-08 18:53:11.805
81,34.29307,0.2927,0.7706,-0.6276,356.901,350.262,357.476,0.1482,0.5457,-0.3480,336.417,350.086,352.657,0.3027,0.5612,-0.3293,341.020,342.792,351.158,01-08 18:53:11.847
82,34.33474,0.2935,0.7706,-0.6273,356.965,350.662,357.486,0.1193,0.5513,-0.3501,336.601,343.577,356.847,0.3161,0.5659,-0.3316,338.814,343.033,354.464,01-08 18:53:11.890
83,34.37592,0.2938,0.7703,-0.6269,357.119,350.840,357.519,0.0921,0.5554,-0.3531,335.784,337.244,359.563,0.3379,0.5717,-0.3288,337.302,346.766,352.892,01-08 18:53:11.930
84,34.41769,0.2940,0.7702,-0.6262,357.313,350.870,357.624,0.0604,0.5580,-0.3568,336.131,330.618,2.481,0.3628,0.5767,-0.3220,339.047,350.068,350.856,01-08 18:53:11.972
85,34.4625,0.2940,0.7702,-0.6257,357.420,350.804,357.484,0.0204,0.5575,-0.3627,338.489,323.648,6.858,0.3979,0.5801,-0.3153,338.380,357.851,346.682,01-08 18:53:12.017
86,34.50084,0.2939,0.7704,-0.6252,357.379,350.690,357.562,-0.0212,0.5535,-0.3723,341.417,315.229,10.242,0.4345,0.5812,-0.3095,339.153,5.356,343.829,01-08 18:53:12.055
87,34.54247,0.2937,0.7711,-0.6246,357.135,350.653,357.574,-0.0624,0.5456,-0.3866,344.633,306.391,11.847,0.4747,0.5803,-0.3062,340.779,14.508,339.584,01-08 18:53:12.097
88,34.58448,0.2934,0.7715,-0.6240,356.930,350.657,357.604,-0.1017,0.5355,-0.4054,348.087,297.586,12.985,0.5141,0.5767,-0.3071,342.471,23.327,335.894,01-08 18:53:12.139
89,34.62627,0.2932,0.7715,-0.6234,357.000,350.534,357.664,-0.1380,0.5230,-0.4283,352.254,289.435,14.745,0.5505,0.5705,-0.3112,345.235,29.540,332.281,01-08 18:53:12.180
90,34.66797,0.2927,0.7714,-0.6227,356.885,350.279,357.642,-0.1650,0.5062,-0.4551,357.214,281.934,16.132,0.5785,0.5614,-0.3199,347.145,36.435,330.595,01-08 18:53:12.223
91,34.7095,0.2923,0.7715,-0.6221,356.783,350.103,357.525,-0.1847,0.4929,-0.4760,359.556,275.678,15.371,0.5987,0.5543,-0.3269,348.805,40.594,329.040,01-08 18:53:12.264
92,34.75151,0.2919,0.7715,-0.6216,356.659,349.886,357.493,-0.1970,0.4835,-0.4904,1.369,271.545,14.841,0.6107,0.5492,-0.3308,350.758,42.685,326.964,01-08 18:53:12.305
93,34.79346,0.2913,0.7716,-0.6211,356.625,349.622,357.373,-0.2012,0.4800,-0.4955,1.378,270.142,13.809,0.6114,0.5481,-0.3316,351.365,43.152,326.031,01-08 18:53:12.347
